# BIP 120-20-900 - smooth
#
# last line must be "end", blank lines and # ignored
#
# phase (deg.) = a_0 + a_1 |tau| + a_2 + |tau|^2 + a_3 |tau|^2
#
# tau_max        a_0        a_1         a_2       a_3
   2.1203        0.00       0.000       5.0897   -0.33385
   4.2693        7.81      -7.322       6.7860   -0.32432
   6.4183      290.43    -171.583      37.2188   -2.07252
   7.8510     -594.01     310.760     -48.6739    2.94616
   8.5673     6379.75   -2467.543     319.6628  -13.30632
   9.1404   -17454.72    5964.158    -674.5029   25.76312
   9.3410  -554474.55  181639.005  -19830.4143  722.02080
   9.5702   297190.60  -89281.416    8894.1329 -293.06427
   9.7708 -2763100.69  850137.095  -87187.2561 2981.05664
  10.0000  -865607.64  260978.268  -26218.1896  878.18462
end
